Date,Cases
3/14/2020,8
3/15/2020,9
3/16/2020,6
3/17/2020,6
3/18/2020,23
3/19/2020,34
3/20/2020,40
3/21/2020,47
3/22/2020,71
3/23/2020,42
3/24/2020,101
3/25/2020,106
3/26/2020,132
3/27/2020,127
3/28/2020,172
3/29/2020,105
3/30/2020,267
3/31/2020,191
4/1/2020,86
4/2/2020,273
4/3/2020,236
4/4/2020,309
4/5/2020,183
4/6/2020,285
4/7/2020,351
4/8/2020,205
4/9/2020,225
4/10/2020,257
4/11/2020,404
4/12/2020,208
4/13/2020,296
4/14/2020,208
4/15/2020,99
4/16/2020,342
4/17/2020,394
4/18/2020,281
4/19/2020,353
4/20/2020,271
4/21/2020,187
4/22/2020,269
4/23/2020,388
4/24/2020,444
4/25/2020,490
4/26/2020,288
4/27/2020,312
4/28/2020,426
4/29/2020,380
4/30/2020,561
5/1/2020,414
5/2/2020,586
5/3/2020,155
5/4/2020,184
5/5/2020,404
5/6/2020,502
5/7/2020,639
5/8/2020,471
5/9/2020,492
5/10/2020,404
5/11/2020,281
5/12/2020,301
5/13/2020,470
5/14/2020,691
5/15/2020,622
5/16/2020,853
5/17/2020,530
5/18/2020,511
5/19/2020,577
5/20/2020,422
5/21/2020,738
5/22/2020,758
5/23/2020,1107
5/24/2020,497
5/25/2020,742
5/26/2020,176
5/27/2020,488
5/28/2020,784
5/29/2020,1076
5/30/2020,1185
5/31/2020,916
6/1/2020,674
6/2/2020,626
6/3/2020,888
6/4/2020,1189
6/5/2020,1289
6/6/2020,1370
6/7/2020,921
6/8/2020,938
6/9/2020,676
6/10/2020,1011
6/11/2020,1310
6/12/2020,1768
6/13/2020,1427
6/14/2020,1443
6/15/2020,983
6/16/2020,751
6/17/2020,1002
6/18/2020,1333
6/19/2020,1652
6/20/2020,1549
6/21/2020,1412
6/22/2020,804
6/23/2020,848
6/24/2020,1721
6/25/2020,1009
6/26/2020,1635
6/27/2020,1719
6/28/2020,1605
6/29/2020,1342
6/30/2020,1186
7/1/2020,1843
7/2/2020,1629
7/3/2020,2099
7/4/2020,1413
7/5/2020,1329
7/6/2020,1546
7/7/2020,1346
7/8/2020,1435
7/9/2020,2039
7/10/2020,1982
7/11/2020,2462
7/12/2020,1908
7/13/2020,1827
7/14/2020,1956
7/15/2020,1782
7/16/2020,2160
7/17/2020,2051
7/18/2020,2481
7/19/2020,1820
7/20/2020,1268
7/21/2020,1815
7/22/2020,2140
7/23/2020,1892
7/24/2020,2102
7/25/2020,2097
7/26/2020,1621
